x,y
0,0.377365673
1,0.096040896
2,0.064389819
3,0.05895149
4,0.052697411
5,0.032086143
6,0.034261475
7,0.031651077
8,0.021263868
9,0.021263868
10,0.019523602
11,0.021046335
12,0.018435936
13,0.016695671
14,0.01386774
15,0.015390472
16,0.009517076
17,0.013432673
18,0.00973461
19,0.008864477
20,0.005873396
21,0.007396128
22,0.005873396
23,0.004350663
24,0.005003263
25,0.00478573
26,0.004350663
27,0.003915597
28,0.003698064
29,0.002610398
30,0.002610398
31,0.002610398
32,0.001087666
33,0.002392865
34,0.001305199
35,0.000870133
36,0.000435066
37,0.000435066
38,0.000217533
40,0.000217533
