PubId,visit_date,Unique_Visitors,Visits,New_Visits,Avg_Duration,Pages_Visits,Bounce_Rate,Seller_Clicks,Searches
358114,20131212,"25,957","28,676","24,374",0:00:47,1.52,73.27%,73,0
358114,20131218,"23,595","24,670","21,513",0:00:57,1.47,74.18%,24,2
354282,20131218,"7,751","8,133","2,925",0:04:50,3.18,23.44%,"3,447",752
354282,20140109,"7,702","8,028","3,351",0:04:28,3.18,21.45%,"3,839",605
354282,20131205,"7,271","7,633","3,033",0:04:18,2.98,23.56%,"3,439",443
354282,20131212,"7,062","7,410","2,937",0:04:20,3.11,22.55%,"3,395",573
358094,20131201,"7,008","7,200","6,357",0:04:11,2.92,24.83%,"1,977",889
354282,20140102,"6,827","7,190","2,964",0:04:59,3.18,22.49%,"3,011",784
358094,20131212,"6,185","6,266","5,568",0:00:48,1.33,81.31%,272,64
354282,20131226,"4,478","4,772","1,957",0:05:28,3.23,21.35%,"2,210",294
358094,20131211,"4,289","4,439","3,608",0:00:55,1.27,84.16%,105,15
354282,20131202,"3,981","4,226","1,516",0:03:49,2.91,22.95%,"1,764",345
358094,20131210,"3,354","3,508","2,749",0:02:03,1.33,82.67%,93,17
358094,20131213,"3,309","3,381","2,783",0:00:51,1.28,82.22%,113,17
358094,20131207,"3,302","3,430","2,775",0:01:17,1.29,80.20%,122,24
358094,20131214,"3,209","3,319","2,739",0:01:05,1.34,80.96%,142,42
356332,20131210,"3,197","3,344","1,558",0:04:38,4.13,14.80%,"1,154",441
356893,20131201,"3,074","3,224","2,371",0:03:44,2.26,42.18%,"1,156",233
358094,20131216,"2,949","3,020","2,437",0:00:58,1.42,80.46%,110,37
358094,20131209,"2,935","3,055","2,401",0:01:18,1.36,79.87%,122,32
356893,20131208,"2,876","3,016","2,266",0:02:43,2.22,40.05%,"1,129",211
356893,20131202,"2,871","2,957","2,281",0:02:34,2.16,43.25%,"1,031",179
30,20131201,"2,866","3,209",184,0:04:13,2.39,55.28%,718,203
356893,20131212,"2,854","2,964","2,271",0:02:16,2.27,42.41%,958,228
30,20131202,"2,849","3,265",211,0:04:14,2.27,52.89%,784,262
356893,20131215,"2,824","2,952","2,239",0:02:14,2.33,42.31%,997,184
356893,20131209,"2,778","2,881","2,224",0:02:58,2.32,40.72%,"1,036",216
358094,20131202,"2,741","2,820","2,268",0:01:36,1.44,77.13%,127,61
358094,20131203,"2,668","2,712","2,379",0:01:30,1.37,78.32%,184,29
356893,20131211,"2,597","2,692","2,085",0:02:46,2.17,42.76%,889,203
356893,20131210,"2,587","2,690","2,090",0:02:53,2.29,44.35%,906,216
356893,20131216,"2,570","2,668","2,053",0:02:29,2.08,44.34%,882,198
356893,20131207,"2,518","2,602","1,989",0:02:17,2.26,40.20%,955,198
358094,20131206,"2,511","2,543","2,153",0:00:27,1.27,84.11%,86,20
358094,20131205,"2,479","2,553","2,065",0:00:52,1.38,78.89%,115,29
358094,20131208,"2,474","2,516","2,170",0:00:45,1.39,79.73%,110,22
356893,20131203,"2,450","2,526","1,901",0:02:42,2.15,42.76%,845,167
358094,20131217,"2,413","2,464","1,955",0:01:06,1.31,82.51%,88,17
358094,20131215,"2,347","2,430","2,023",0:01:07,1.46,75.10%,181,56
356893,20131214,"2,339","2,410","1,835",0:02:04,2.19,41.99%,826,189
30,20131203,"2,337","2,655",152,0:03:09,2.39,54.54%,647,176
30,20131208,"2,337","2,604",164,0:05:35,2.28,59.83%,539,169
356893,20131218,"2,312","2,396","1,884",0:02:20,2.1,41.82%,843,169
