PubId,PubName,PubGroupId,PubGroupName
29,non-campaign referred,557,Organic Search Other
45,others,363,others
144,GT1,363,others
386,unknown,363,others
465,askjeeves ros,363,others
565,inkclothhg,7,Inktomi US
587,ggslongdistance,6,Google US
595,ggp webhost,1,IndustryBrains
604,fw debt,5,Findwhat
611,fw debtc,5,Findwhat
705,ggp mag,6,Google US
787,ggp cloth,6,Google US
791,ggp4,1,IndustryBrains
824,bidclix,363,others
890,lyc autoloan,9,247 Real Media Banners
929,ggp,6,Google US
168,ink travel,7,Inktomi US
1288,inktomi calibex,7,Inktomi US
50145,terminills,390,Affiliates
50201,harryt,390,Affiliates
50242,DONALDGREUNKE,390,Affiliates
50001,canyoumatrix,390,Affiliates
50063,caobad,390,Affiliates
225,ggs calibex inexact,6,Google US
1208,avbb,3,Altavista
1225,fast oprod,4,Fast
1233,searchbossXML,363,others
50144,Techcoms,390,Affiliates
50341,wmricci,390,Affiliates
50347,zigmall,390,Affiliates
1490,ggsi car parts,6,Google US
50351,Allenpb,390,Affiliates
50381,MattHaynes,390,Affiliates
50402,PENWA.COM,390,Affiliates
50423,el9306922,390,Affiliates
1607,lsicarparts,8,Looksmart
50482,mircea33009,390,Affiliates
50485,Finnro,390,Affiliates
50504,user30913,390,Affiliates
1665,av mortleads,3,Altavista
1744,igetnet,363,others
50523,DavidJWard,390,Affiliates
50528,witnesstwo,390,Affiliates
50533,shock89873,390,Affiliates
50539,tekboyz,390,Affiliates
50549,elamast,390,Affiliates
1754,ggsi flower,6,Google US
1763,av flower,3,Altavista
1784,gotoihg,2,Yahoo US
50582,CDM Computer St,390,Affiliates
1812,lsd bmv,8,Looksmart
50602,GLOBAL_SAVINGS,390,Affiliates
50604,lapetec,390,Affiliates
50611,techrebate,390,Affiliates
50618,WEIA,390,Affiliates
1890,lycos mort ad,9,247 Real Media Banners
50662,danferrell,390,Affiliates
50666,veevo,390,Affiliates
50673,Kaanza,390,Affiliates
1984,maxauto,363,others
50683,iflynx31,390,Affiliates
50687,PlaneLady,390,Affiliates
50692,FASTER1,390,Affiliates
50698,seander,390,Affiliates
50703,bobvc,390,Affiliates
50706,wolfebyte,390,Affiliates
2005,ggs lifeins,6,Google US
2014,fast bmv,4,Fast
2020,avmusic,3,Altavista
50710,RandyCWA,390,Affiliates
50715,shopclue,390,Affiliates
50720,tharris9d,390,Affiliates
50725,allenku,390,Affiliates
2029,gatorcloth,83,Gator Banners
2053,lsinontech,8,Looksmart
2060,gotoi flower,2,Yahoo US
50745,Arize,390,Affiliates
50750,evanlis,390,Affiliates
50760,suxdnow,390,Affiliates
50765,kellybernard,390,Affiliates
50770,dealslist,390,Affiliates
2092,aol 1759 mort ad,125,AOL Banners
2105,lsnontech,8,Looksmart
2109,ls carparts2,8,Looksmart
2142,iwon text mort ad,81,AskJeeves Banners
2170,zango,363,others
2173,gator mortgage,83,Gator Banners
2180,whenu,211,WhenU Banners
1287,ggsi ld,6,Google US
1344,ggp3inexact,6,Google US
50221,Circle Of Deals,390,Affiliates
50243,alemedin,390,Affiliates
50262,HydrodermOutlet,390,Affiliates
1384,trendsetter,363,others
1404,cross-sell-autos,363,others
1444,lsd cars,8,Looksmart
50022,cybersave,390,Affiliates
50065,manoj,390,Affiliates
212,ink longdist,7,Inktomi US
1207,avwireless,3,Altavista
50101,nighthawk1271,390,Affiliates
1228,fast wireless,4,Fast
1234,exactresultXML,339,XML Syndication
1275,lsimag,8,Looksmart
50562,dummybuy,390,Affiliates
50568,Eagles Galaxy,390,Affiliates
1806,hotbarXML,363,others
464,insp ros,363,others
1827,lycrealtor,9,247 Real Media Banners
